ID,claim,number/date,unit,source_url,excerpt,confidence,graphic_worthy,human_anchor,status,absolute_ok
CLM-001,Challenger Deep maximum depth measured by NOAA/UNH multibeam bathymetry,10984,meters,https://doi.org/10.1080/01490419.2013.837849,"The absolute deepest point within the Challenger Deep western basin was determined to be 10,984 ± 25 meters (36,037 ft) at 95% confidence level.",established,yes,"2,136 meters deeper than Mount Everest is tall if inverted into the ocean",established,no
CLM-002,Challenger Deep depth in feet,36070,feet,https://doi.org/10.1080/01490419.2013.837849,"Depth measured between 36,037 ft and 36,070 ft across multibeam sounding grids.",estimate,yes,"The cruising altitude of a commercial Boeing 777 passenger airliner pointed straight down",established,no
CLM-003,Hydrostatic pressure at the floor of the Challenger Deep,1086,bar,https://www.whoi.edu/know-your-ocean/ocean-topics/ocean-zones/hadal-zone/,"At the floor of the Challenger Deep (~10,994 m), ambient pressure reaches approximately 1,086 to 1,100 bar (over 15,750 to 16,000 psi).",established,yes,"Equivalent to an adult African elephant balanced on the surface of a human postage stamp",established,no
CLM-004,Date of first manned descent by US Navy Bathyscaphe Trieste,1960-01-23,date,https://www.history.navy.mil/browse-by-topic/exploration-and-scientific-research/project-nekton.html,"On 23 January 1960, the United States Navy bathyscaphe Trieste achieved the first manned descent to the floor of the Challenger Deep.",established,yes,"9 years before Apollo 11 touched down on the Moon",established,no
CLM-005,Descent duration of Bathyscaphe Trieste,287,minutes,https://www.history.navy.mil/browse-by-topic/exploration-and-scientific-research/project-nekton.html,"The descent took 4 hours and 47 minutes under a surface water temperature of 84°F and seafloor temperature of 37.4°F.",established,yes,"Nearly the runtime of two full feature-length films in pitch blackness",established,no
CLM-006,Trieste steel pressure sphere wall thickness,5.0,inches,https://www.history.navy.mil/browse-by-topic/exploration-and-scientific-research/project-nekton.html,"The 5-inch thick Krupp forged steel sphere remained structurally intact.",established,yes,"Thicker than the frontal armor plate of a World War II Sherman tank",established,no
CLM-007,NOAA PMEL deployed titanium-encased hydrophone to Challenger Deep,2015-07,date,https://doi.org/10.5670/oceanog.2017.240,"In July 2015, a ceramic hydrophone enclosed in a titanium pressure vessel was deployed to the seafloor of the Challenger Deep in the Mariana Trench.",established,no,"Midsummer 2015 deployment by Coast Guard Cutter Sequoia",established,no
CLM-008,Continuous recording duration of NOAA hadal hydrophone,23,days,https://doi.org/10.5670/oceanog.2017.240,"The instrument recorded ambient sound continuously for 23 days at a sampling rate of 32 kHz.",established,yes,"More than 550 consecutive hours of unbroken hadal audio telemetry",established,no
CLM-009,Descent speed of titanium hydrophone through water column,5,meters per second,https://www.eurekalert.org/news-releases/838186,"Sinking at a controlled rate of five meters per second through the water column, the instrument settled at the bottom.",established,yes,"The controlled descent speed of a brisk human sprinter",established,no
CLM-010,Sampling rate of NOAA Challenger Deep hydrophone,32000,Hz,https://doi.org/10.5670/oceanog.2017.240,"The instrument recorded ambient sound continuously for 23 days at a sampling rate of 32 kHz (16-bit resolution).",established,yes,"32,000 discrete acoustic pressure readings captured every single second",established,no
CLM-011,Duration of the Western Pacific Biotwang acoustic signal,3.5,seconds,https://doi.org/10.1121/1.4962377,"The call spans frequencies from 38 Hz to nearly 8,000 Hz, with a duration between 2.5 and 3.5 seconds.",established,yes,"A brief acoustic flash lasting roughly the duration of a single human heartbeat cycle",established,no
CLM-012,Peak high-frequency metallic sweep of Western Pacific Biotwang,8000,Hz,https://doi.org/10.1121/1.4962377,"It begins with a low-frequency moan (38 Hz) and culminates in a sharp, metallic high-frequency sweep reaching 8,000 Hz.",established,yes,"Rising from the lowest bass rumble of a cathedral organ to the piercing ring of a high synthesizer whistle",established,no
CLM-013,Scientific investigation interval to resolve Biotwang biological origin,8,years,https://doi.org/10.3389/fmars.2024.1394697,"Settling an eight-year biological mystery between initial 2016 documentation and 2024 Bryde's whale classification.",established,yes,"Nearly a full decade of scientific debate and acoustic analysis",established,no
CLM-014,Ambient water temperature at the bottom of the Challenger Deep,1.0,Celsius,https://www.whoi.edu/know-your-ocean/ocean-topics/ocean-zones/hadal-zone/,"Water temperature remains near-freezing, between 1.0°C and 4.0°C.",established,no,"Just one to two degrees above liquid freezing point",established,no
CLM-015,Total crescent arc length of the Mariana Trench,2550,kilometers,https://www.ncei.noaa.gov/products/bathymetry-data,"The Mariana Trench forms an arcuate crescent roughly 2,550 kilometers (1,580 miles) long with an average width of 69 kilometers.",established,yes,"Longer than the entire distance from London to Rome across Western Europe",established,no
CLM-016,Average width of the Mariana Trench,69,kilometers,https://www.ncei.noaa.gov/products/bathymetry-data,"Average width of 69 kilometers (43 miles).",established,no,"Roughly the distance of a one-hour highway drive across a metropolitan county",established,no
CLM-017,Date of James Cameron Deepsea Challenger solo dive,2012-03-26,date,https://www.nationalgeographic.com/expeditions/deepsea-challenge/,"On 26 March 2012, filmmaker and explorer James Cameron piloted the Deepsea Challenger submersible to the seafloor.",established,no,"52 years after the Trieste's maiden descent",established,no
